País de residencia;Tipo de dato;Gastos y duración media de los viajes;Periodo;Total
Alemania;Dato base;Duración media de los viajes;2018M01;9,60
Alemania;Dato base;Duración media de los viajes;2017M12;9,83
Alemania;Dato base;Duración media de los viajes;2017M11;8,51
Alemania;Dato base;Duración media de los viajes;2017M10;8,04
Alemania;Dato base;Duración media de los viajes;2017M09;7,92
Alemania;Dato base;Duración media de los viajes;2017M08;9,24
Alemania;Dato base;Duración media de los viajes;2017M07;8,34
Alemania;Dato base;Duración media de los viajes;2017M06;7,99
Alemania;Dato base;Duración media de los viajes;2017M05;6,81
Alemania;Dato base;Duración media de los viajes;2017M04;8,03
Alemania;Dato base;Duración media de los viajes;2017M03;7,81
Alemania;Dato base;Duración media de los viajes;2017M02;9,64
Alemania;Dato base;Duración media de los viajes;2017M01;9,81
Alemania;Dato base;Duración media de los viajes;2016M12;10,40
Alemania;Dato base;Duración media de los viajes;2016M11;7,81
Alemania;Dato base;Duración media de los viajes;2016M10;8,06
Alemania;Dato base;Duración media de los viajes;2016M09;8,22
Alemania;Dato base;Duración media de los viajes;2016M08;9,00
Alemania;Dato base;Duración media de los viajes;2016M07;8,35
Alemania;Dato base;Duración media de los viajes;2016M06;7,82
Alemania;Dato base;Duración media de los viajes;2016M05;7,29
Alemania;Dato base;Duración media de los viajes;2016M04;8,51
Alemania;Dato base;Duración media de los viajes;2016M03;8,21
Alemania;Dato base;Duración media de los viajes;2016M02;8,53
Alemania;Dato base;Duración media de los viajes;2016M01;9,79
Alemania;Dato base;Duración media de los viajes;2015M12;10,18
Alemania;Dato base;Duración media de los viajes;2015M11;8,59
Alemania;Dato base;Duración media de los viajes;2015M10;9,39
Alemania;Tasa de variación anual;Gasto total;2026M07;11,50
Alemania;Tasa de variación anual;Gasto total;2026M06;0,02
Alemania;Tasa de variación anual;Gasto total;2026M05;13,36
Alemania;Tasa de variación anual;Gasto total;2026M04;-8,70
Alemania;Tasa de variación anual;Gasto total;2026M03;0,15
Alemania;Tasa de variación anual;Gasto total;2026M02;8,00
Alemania;Tasa de variación anual;Gasto total;2026M01;4,36
Alemania;Tasa de variación anual;Gasto total;2025M12;-6,47
Alemania;Tasa de variación anual;Gasto total;2025M11;-0,84
Alemania;Tasa de variación anual;Gasto total;2025M10;-3,12
Alemania;Tasa de variación anual;Gasto total;2025M09;1,78
Alemania;Tasa de variación anual;Gasto total;2025M08;9,86
Alemania;Tasa de variación anual;Gasto total;2025M07;-5,58
Alemania;Tasa de variación anual;Gasto total;2025M06;9,34
Alemania;Tasa de variación anual;Gasto total;2025M05;-5,75
Alemania;Tasa de variación anual;Gasto total;2025M04;14,57
Alemania;Tasa de variación anual;Gasto total;2025M03;6,03
Alemania;Tasa de variación anual;Gasto total;2025M02;1,43
Alemania;Tasa de variación anual;Gasto total;2025M01;5,82
Alemania;Tasa de variación anual;Gasto total;2024M12;20,16
Alemania;Tasa de variación anual;Gasto total;2024M11;19,98
Alemania;Tasa de variación anual;Gasto total;2024M10;23,43
Alemania;Tasa de variación anual;Gasto total;2024M09;8,99
Alemania;Tasa de variación anual;Gasto total;2024M08;15,00
Alemania;Tasa de variación anual;Gasto total;2024M07;15,90
Alemania;Tasa de variación anual;Gasto total;2024M06;2,80
Alemania;Tasa de variación anual;Gasto total;2024M05;18,17
Alemania;Tasa de variación anual;Gasto total;2024M04;11,83
Alemania;Tasa de variación anual;Gasto total;2024M03;45,19
Alemania;Tasa de variación anual;Gasto total;2024M02;24,95
Alemania;Tasa de variación anual;Gasto total;2024M01;25,34
Alemania;Tasa de variación anual;Gasto total;2023M12;28,69
Alemania;Tasa de variación anual;Gasto total;2023M11;16,30
Alemania;Tasa de variación anual;Gasto total;2023M10;14,35
Alemania;Tasa de variación anual;Gasto total;2023M09;17,96
Alemania;Tasa de variación anual;Gasto total;2023M08;8,85
Alemania;Tasa de variación anual;Gasto total;2023M07;6,77
Alemania;Tasa de variación anual;Gasto total;2023M06;6,75
Alemania;Tasa de variación anual;Gasto total;2023M05;10,37
Alemania;Tasa de variación anual;Gasto total;2023M04;13,72
Alemania;Tasa de variación anual;Gasto total;2023M03;8,46
Alemania;Tasa de variación anual;Gasto total;2023M02;34,87
Alemania;Tasa de variación anual;Gasto total;2023M01;49,78
Alemania;Tasa de variación anual;Gasto total;2022M12;24,79
Alemania;Tasa de variación anual;Gasto total;2022M11;15,88
Alemania;Tasa de variación anual;Gasto total;2022M10;9,03
Alemania;Tasa de variación anual;Gasto total;2022M09;33,78
Alemania;Tasa de variación anual;Gasto total;2022M08;73,44
Alemania;Tasa de variación anual;Gasto total;2022M07;56,96
Alemania;Tasa de variación anual;Gasto total;2022M06;125,36
Alemania;Tasa de variación anual;Gasto total;2022M05;202,06
Alemania;Tasa de variación anual;Gasto total;2022M04;633,42
Alemania;Tasa de variación anual;Gasto total;2022M03;552,71
Alemania;Tasa de variación anual;Gasto total;2022M02;954,28
Alemania;Tasa de variación anual;Gasto total;2022M01;578,64
Alemania;Tasa de variación anual;Gasto total;2021M12;361,23
Alemania;Tasa de variación anual;Gasto total;2021M11;581,54
Alemania;Tasa de variación anual;Gasto total;2021M10;1.144,51
Alemania;Tasa de variación anual;Gasto total;2021M09;966,25
Alemania;Tasa de variación anual;Gasto total;2021M08;134,12
Alemania;Tasa de variación anual;Gasto total;2021M07;88,30
Alemania;Tasa de variación anual;Gasto total;2021M06;1.694,51
Alemania;Tasa de variación anual;Gasto total;2021M05;..
Alemania;Tasa de variación anual;Gasto total;2021M04;..
Alemania;Tasa de variación anual;Gasto total;2021M03;-58,96
Alemania;Tasa de variación anual;Gasto total;2021M02;-92,02
Alemania;Tasa de variación anual;Gasto total;2021M01;-89,71
Alemania;Tasa de variación anual;Gasto total;2020M12;-81,30
Alemania;Tasa de variación anual;Gasto total;2020M11;-85,99
Alemania;Tasa de variación anual;Gasto total;2020M10;-92,69
Alemania;Tasa de variación anual;Gasto total;2020M09;-93,14
Alemania;Tasa de variación anual;Gasto total;2020M08;-74,81
Alemania;Tasa de variación anual;Gasto total;2020M07;-67,67
Alemania;Tasa de variación anual;Gasto total;2020M06;-97,60
Alemania;Tasa de variación anual;Gasto total;2020M05;-100,00
Alemania;Tasa de variación anual;Gasto total;2020M04;-100,00
Alemania;Tasa de variación anual;Gasto total;2020M03;-65,23
Alemania;Tasa de variación anual;Gasto total;2020M02;3,14
Alemania;Tasa de variación anual;Gasto total;2020M01;3,51
Alemania;Tasa de variación anual;Gasto total;2019M12;-1,83
Alemania;Tasa de variación anual;Gasto total;2019M11;-0,43
Alemania;Tasa de variación anual;Gasto total;2019M10;-6,47
Alemania;Tasa de variación anual;Gasto total;2019M09;-8,80
Alemania;Tasa de variación anual;Gasto total;2019M08;-10,79
Alemania;Tasa de variación anual;Gasto total;2019M07;0,09
Alemania;Tasa de variación anual;Gasto total;2019M06;6,28
Alemania;Tasa de variación anual;Gasto total;2019M05;-10,67
Alemania;Tasa de variación anual;Gasto total;2019M04;15,41
Alemania;Tasa de variación anual;Gasto total;2019M03;-3,79
Alemania;Tasa de variación anual;Gasto total;2019M02;3,82
Alemania;Tasa de variación anual;Gasto total;2019M01;1,68
Alemania;Tasa de variación anual;Gasto total;2018M12;10,03
Alemania;Tasa de variación anual;Gasto total;2018M11;0,77
Alemania;Tasa de variación anual;Gasto total;2018M10;2,02
Alemania;Tasa de variación anual;Gasto total;2018M09;-0,61
Alemania;Tasa de variación anual;Gasto total;2018M08;-4,23
Alemania;Tasa de variación anual;Gasto total;2018M07;-6,13
Alemania;Tasa de variación anual;Gasto total;2018M06;-13,64
Alemania;Tasa de variación anual;Gasto total;2018M05;4,42
Alemania;Tasa de variación anual;Gasto total;2018M04;-19,36
Alemania;Tasa de variación anual;Gasto total;2018M03;21,72
Alemania;Tasa de variación anual;Gasto total;2018M02;2,29
Alemania;Tasa de variación anual;Gasto total;2018M01;3,25
Alemania;Tasa de variación anual;Gasto total;2017M12;4,20
Alemania;Tasa de variación anual;Gasto total;2017M11;16,51
Alemania;Tasa de variación anual;Gasto total;2017M10;-0,39
Alemania;Tasa de variación anual;Gasto total;2017M09;13,18
Alemania;Tasa de variación anual;Gasto total;2017M08;4,78
Alemania;Tasa de variación anual;Gasto total;2017M07;12,68
Alemania;Tasa de variación anual;Gasto total;2017M06;19,00
Alemania;Tasa de variación anual;Gasto total;2017M05;0,01
Alemania;Tasa de variación anual;Gasto total;2017M04;36,28
Alemania;Tasa de variación anual;Gasto total;2017M03;-0,90
Alemania;Tasa de variación anual;Gasto total;2017M02;12,00
Alemania;Tasa de variación anual;Gasto total;2017M01;11,83
Alemania;Tasa de variación anual;Gasto total;2016M12;21,07
Alemania;Tasa de variación anual;Gasto total;2016M11;3,40
Alemania;Tasa de variación anual;Gasto total;2016M10;22,49
Alemania;Tasa de variación anual;Gasto total;2016M09;-0,09
Alemania;Tasa de variación anual;Gasto total;2016M08;0,78
Alemania;Tasa de variación anual;Gasto total;2016M07;2,76
Alemania;Tasa de variación anual;Gasto total;2016M06;14,53
Alemania;Tasa de variación anual;Gasto total;2016M05;4,59
Alemania;Tasa de variación anual;Gasto total;2016M04;1,92
Alemania;Tasa de variación anual;Gasto total;2016M03;6,14
Alemania;Tasa de variación anual;Gasto total;2016M02;3,48
Alemania;Tasa de variación anual;Gasto total;2016M01;-10,07
Alemania;Tasa de variación anual;Gasto total;2015M12;-17,49
Alemania;Tasa de variación anual;Gasto total;2015M11;-8,67
Alemania;Tasa de variación anual;Gasto total;2015M10;-1,61
Alemania;Tasa de variación anual;Gasto medio por persona;2026M07;8,97
Alemania;Tasa de variación anual;Gasto medio por persona;2026M06;6,33
Alemania;Tasa de variación anual;Gasto medio por persona;2026M05;4,00
Alemania;Tasa de variación anual;Gasto medio por persona;2026M04;0,43
Alemania;Tasa de variación anual;Gasto medio por persona;2026M03;-2,72
Alemania;Tasa de variación anual;Gasto medio por persona;2026M02;6,47
Alemania;Tasa de variación anual;Gasto medio por persona;2026M01;6,44
Alemania;Tasa de variación anual;Gasto medio por persona;2025M12;-1,90
Alemania;Tasa de variación anual;Gasto medio por persona;2025M11;-3,34
Alemania;Tasa de variación anual;Gasto medio por persona;2025M10;0,05
Alemania;Tasa de variación anual;Gasto medio por persona;2025M09;1,86
Alemania;Tasa de variación anual;Gasto medio por persona;2025M08;5,06
Alemania;Tasa de variación anual;Gasto medio por persona;2025M07;-0,54
Alemania;Tasa de variación anual;Gasto medio por persona;2025M06;1,40
Alemania;Tasa de variación anual;Gasto medio por persona;2025M05;0,46
Alemania;Tasa de variación anual;Gasto medio por persona;2025M04;0,67
Alemania;Tasa de variación anual;Gasto medio por persona;2025M03;7,42
Alemania;Tasa de variación anual;Gasto medio por persona;2025M02;-3,18
Alemania;Tasa de variación anual;Gasto medio por persona;2025M01;8,42
Alemania;Tasa de variación anual;Gasto medio por persona;2024M12;8,18
Alemania;Tasa de variación anual;Gasto medio por persona;2024M11;14,96
Alemania;Tasa de variación anual;Gasto medio por persona;2024M10;8,34
Alemania;Tasa de variación anual;Gasto medio por persona;2024M09;7,43
Alemania;Tasa de variación anual;Gasto medio por persona;2024M08;9,52
Alemania;Tasa de variación anual;Gasto medio por persona;2024M07;9,23
Alemania;Tasa de variación anual;Gasto medio por persona;2024M06;4,59
Alemania;Tasa de variación anual;Gasto medio por persona;2024M05;7,79
Alemania;Tasa de variación anual;Gasto medio por persona;2024M04;-0,68
Alemania;Tasa de variación anual;Gasto medio por persona;2024M03;12,72
Alemania;Tasa de variación anual;Gasto medio por persona;2024M02;12,21
Alemania;Tasa de variación anual;Gasto medio por persona;2024M01;9,15
Alemania;Tasa de variación anual;Gasto medio por persona;2023M12;4,07
Alemania;Tasa de variación anual;Gasto medio por persona;2023M11;-1,85
Alemania;Tasa de variación anual;Gasto medio por persona;2023M10;5,68
Alemania;Tasa de variación anual;Gasto medio por persona;2023M09;3,99
Alemania;Tasa de variación anual;Gasto medio por persona;2023M08;2,32
Alemania;Tasa de variación anual;Gasto medio por persona;2023M07;-0,18
Alemania;Tasa de variación anual;Gasto medio por persona;2023M06;4,55
Alemania;Tasa de variación anual;Gasto medio por persona;2023M05;-4,16
Alemania;Tasa de variación anual;Gasto medio por persona;2023M04;11,61
Alemania;Tasa de variación anual;Gasto medio por persona;2023M03;-6,55
Alemania;Tasa de variación anual;Gasto medio por persona;2023M02;-1,30
Alemania;Tasa de variación anual;Gasto medio por persona;2023M01;-11,98
Alemania;Tasa de variación anual;Gasto medio por persona;2022M12;11,18
Alemania;Tasa de variación anual;Gasto medio por persona;2022M11;5,80
Alemania;Tasa de variación anual;Gasto medio por persona;2022M10;-4,33
Alemania;Tasa de variación anual;Gasto medio por persona;2022M09;-2,38
Alemania;Tasa de variación anual;Gasto medio por persona;2022M08;6,02
Alemania;Tasa de variación anual;Gasto medio por persona;2022M07;1,21
Alemania;Tasa de variación anual;Gasto medio por persona;2022M06;-0,46
Alemania;Tasa de variación anual;Gasto medio por persona;2022M05;4,73
Alemania;Tasa de variación anual;Gasto medio por persona;2022M04;6,26
Alemania;Tasa de variación anual;Gasto medio por persona;2022M03;12,19
Alemania;Tasa de variación anual;Gasto medio por persona;2022M02;-0,16
Alemania;Tasa de variación anual;Gasto medio por persona;2022M01;23,03
Alemania;Tasa de variación anual;Gasto medio por persona;2021M12;-5,66
Alemania;Tasa de variación anual;Gasto medio por persona;2021M11;8,43
Alemania;Tasa de variación anual;Gasto medio por persona;2021M10;11,55
Alemania;Tasa de variación anual;Gasto medio por persona;2021M09;12,76
Alemania;Tasa de variación anual;Gasto medio por persona;2021M08;2,19
Alemania;Tasa de variación anual;Gasto medio por persona;2021M07;14,46
Alemania;Tasa de variación anual;Gasto medio por persona;2021M06;23,98
Alemania;Tasa de variación anual;Gasto medio por persona;2021M05;..
Alemania;Tasa de variación anual;Gasto medio por persona;2021M04;..
Alemania;Tasa de variación anual;Gasto medio por persona;2021M03;7,18
Alemania;Tasa de variación anual;Gasto medio por persona;2021M02;15,39
Alemania;Tasa de variación anual;Gasto medio por persona;2021M01;-0,58
Alemania;Tasa de variación anual;Gasto medio por persona;2020M12;11,88
Alemania;Tasa de variación anual;Gasto medio por persona;2020M11;4,36
Alemania;Tasa de variación anual;Gasto medio por persona;2020M10;-1,18
Alemania;Tasa de variación anual;Gasto medio por persona;2020M09;-1,45
Alemania;Tasa de variación anual;Gasto medio por persona;2020M08;-3,99
Alemania;Tasa de variación anual;Gasto medio por persona;2020M07;-6,54
Alemania;Tasa de variación anual;Gasto medio por persona;2020M06;-10,07
Alemania;Tasa de variación anual;Gasto medio por persona;2020M05;-100,00
Alemania;Tasa de variación anual;Gasto medio por persona;2020M04;-100,00
Alemania;Tasa de variación anual;Gasto medio por persona;2020M03;3,02
Alemania;Tasa de variación anual;Gasto medio por persona;2020M02;6,04
Alemania;Tasa de variación anual;Gasto medio por persona;2020M01;8,56
Alemania;Tasa de variación anual;Gasto medio por persona;2019M12;6,50
Alemania;Tasa de variación anual;Gasto medio por persona;2019M11;0,66
Alemania;Tasa de variación anual;Gasto medio por persona;2019M10;2,07
Alemania;Tasa de variación anual;Gasto medio por persona;2019M09;-1,75
Alemania;Tasa de variación anual;Gasto medio por persona;2019M08;-0,38
Alemania;Tasa de variación anual;Gasto medio por persona;2019M07;3,18
Alemania;Tasa de variación anual;Gasto medio por persona;2019M06;-1,00
Alemania;Tasa de variación anual;Gasto medio por persona;2019M05;-2,83
Alemania;Tasa de variación anual;Gasto medio por persona;2019M04;-1,28
Alemania;Tasa de variación anual;Gasto medio por persona;2019M03;-2,11
Alemania;Tasa de variación anual;Gasto medio por persona;2019M02;1,54
Alemania;Tasa de variación anual;Gasto medio por persona;2019M01;-1,36
Alemania;Tasa de variación anual;Gasto medio por persona;2018M12;-1,37
Alemania;Tasa de variación anual;Gasto medio por persona;2018M11;3,83
