Comunidades  autónomas;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2018M08;160
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2018M07;160
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2018M06;152
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2018M05;151
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2018M04;143
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2018M03;133
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2018M02;120
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2018M01;113
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2017M12;144
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2017M11;144
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2017M10;145
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2017M09;146
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2017M08;147
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2017M07;148
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2017M06;143
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2017M05;142
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2017M04;135
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2017M03;131
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2017M02;123
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2017M01;114
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2016M12;137
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2016M11;137
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2016M10;137
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2016M09;139
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2016M08;140
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2016M07;140
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2016M06;135
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2016M05;134
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2016M04;128
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2016M03;126
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2016M02;122
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2016M01;108
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2015M12;""
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2015M11;""
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2015M10;123
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2026M07;5,06
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2026M06;4,22
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2026M05;3,61
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2026M04;2,97
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2026M03;1,26
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2026M02;0,66
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2026M01;1,71
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2025M12;5,32
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2025M11;5,19
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2025M10;4,94
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2025M09;5,03
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2025M08;5,20
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2025M07;5,93
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2025M06;4,49
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2025M05;4,43
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2025M04;4,97
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2025M03;7,72
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2025M02;6,96
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2025M01;9,70
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2024M12;7,44
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2024M11;7,55
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2024M10;7,60
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2024M09;7,97
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2024M08;8,34
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2024M07;6,97
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2024M06;7,77
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2024M05;8,89
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2024M04;8,65
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2024M03;13,89
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2024M02;11,01
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2024M01;6,14
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2023M12;9,09
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2023M11;9,26
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2023M10;9,53
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2023M09;9,49
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2023M08;9,37
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2023M07;10,90
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2023M06;9,77
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2023M05;10,01
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2023M04;15,86
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2023M03;6,93
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2023M02;17,19
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2023M01;19,57
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2022M12;8,59
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2022M11;8,24
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2022M10;8,05
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2022M09;8,17
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2022M08;7,00
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2022M07;6,69
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2022M06;16,02
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2022M05;22,47
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2022M04;22,14
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2022M03;27,27
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2022M02;17,24
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2022M01;8,68
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2021M12;14,12
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2021M11;14,43
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2021M10;14,64
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2021M09;13,74
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2021M08;14,10
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2021M07;15,42
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2021M06;4,46
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2021M05;-5,43
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2021M04;-16,37
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2021M03;-23,20
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2021M02;-24,71
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2021M01;-23,41
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2020M12;-13,82
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2020M11;-13,67
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2020M10;-13,71
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2020M09;-12,98
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2020M08;-12,33
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2020M07;-13,40
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2020M06;-12,71
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2020M05;-12,10
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2020M04;-7,33
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2020M03;-6,68
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2020M02;-1,23
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2020M01;3,42
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2019M12;3,84
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2019M11;3,84
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2019M10;3,80
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2019M09;3,43
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2019M08;2,41
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2019M07;2,07
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2019M06;4,52
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2019M05;5,73
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2019M04;5,70
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2019M03;12,81
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2019M02;13,26
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2019M01;10,47
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2018M12;8,32
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2018M11;8,36
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2018M10;8,51
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2018M09;8,47
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2018M08;9,11
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2018M07;8,08
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2018M06;6,56
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2018M05;6,37
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2018M04;5,77
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2018M03;1,85
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2018M02;-2,46
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2018M01;-1,01
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2017M12;5,36
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2017M11;5,25
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2017M10;5,51
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2017M09;5,26
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2017M08;5,23
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2017M07;5,50
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2017M06;5,69
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2017M05;5,73
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2017M04;6,02
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2017M03;3,86
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2017M02;1,24
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2017M01;5,58
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2016M12;5,71
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2016M11;5,78
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2016M10;5,48
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2016M09;5,72
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2016M08;5,57
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2016M07;6,30
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2016M06;5,70
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2016M05;5,27
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2016M04;7,44
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2016M03;16,57
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2016M02;21,99
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación acumulada;2016M01;11,86
